id,chart_template_id:id,code,name,user_type_id:id,reconcile,group_id:id
ccleen_au_1000,l10n_ccleen_au.l10n_ccleen_au_chart_template,1000,Westpac Account 331,account.data_account_type_liquidity,FALSE,account_grp_asset
ccleen_au_1030,l10n_ccleen_au.l10n_ccleen_au_chart_template,1030,Electriconic Clearing Account,account.data_account_type_liquidity,FALSE,account_grp_asset
ccleen_au_1050,l10n_ccleen_au.l10n_ccleen_au_chart_template,1050,Petty Cash,account.data_account_type_liquidity,FALSE,account_grp_asset
ccleen_au_1063,l10n_ccleen_au.l10n_ccleen_au_chart_template,1063,USD Western Union(Main),account.data_account_type_liquidity,FALSE,account_grp_asset
ccleen_au_1073,l10n_ccleen_au.l10n_ccleen_au_chart_template,1073,EURO Western Union(Main),account.data_account_type_liquidity,FALSE,account_grp_asset
ccleen_au_1100,l10n_ccleen_au.l10n_ccleen_au_chart_template,1100,Accounts Receivable,account.data_account_type_receivable,TRUE,account_grp_asset
ccleen_au_1150,l10n_ccleen_au.l10n_ccleen_au_chart_template,1150,Provision for Doubtful Debts,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1200,l10n_ccleen_au.l10n_ccleen_au_chart_template,1200,Deposit Paid,account.data_account_type_prepayments,FALSE,account_grp_asset
ccleen_au_1210,l10n_ccleen_au.l10n_ccleen_au_chart_template,1210,Prepayments,account.data_account_type_prepayments,FALSE,account_grp_asset
ccleen_au_1220,l10n_ccleen_au.l10n_ccleen_au_chart_template,1220,GST Paid (1B on BAS),account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1221,l10n_ccleen_au.l10n_ccleen_au_chart_template,1221,GST Paid (1B on BAS) Import,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1230,l10n_ccleen_au.l10n_ccleen_au_chart_template,1230,Inventory,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1232,l10n_ccleen_au.l10n_ccleen_au_chart_template,1232,Inventory In Transit,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1250,l10n_ccleen_au.l10n_ccleen_au_chart_template,1250,Inventory Returned Not Credited,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1260,l10n_ccleen_au.l10n_ccleen_au_chart_template,1260,PAYG withholding on wages,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1300,l10n_ccleen_au.l10n_ccleen_au_chart_template,1300,Other Receivables,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1510,l10n_ccleen_au.l10n_ccleen_au_chart_template,1510, Computer Equipment,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1512,l10n_ccleen_au.l10n_ccleen_au_chart_template,1512,Cost - CE,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1514,l10n_ccleen_au.l10n_ccleen_au_chart_template,1514,Accum Depn - CE,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1520,l10n_ccleen_au.l10n_ccleen_au_chart_template,1520, Furniture & Fixtures,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1522,l10n_ccleen_au.l10n_ccleen_au_chart_template,1522,Cost - FF,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1524,l10n_ccleen_au.l10n_ccleen_au_chart_template,1524,Accum Depn - FF,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1530,l10n_ccleen_au.l10n_ccleen_au_chart_template,1530,Leasehold Improvements,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1540,l10n_ccleen_au.l10n_ccleen_au_chart_template,1540, Motor Vehicles,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1542,l10n_ccleen_au.l10n_ccleen_au_chart_template,1542,Cost - MV,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1544,l10n_ccleen_au.l10n_ccleen_au_chart_template,1544,Accum Depn - MV,account.data_account_type_fixed_assets,FALSE,account_grp_asset
ccleen_au_1600,l10n_ccleen_au.l10n_ccleen_au_chart_template,1600,Undeposited Funds,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1650,l10n_ccleen_au.l10n_ccleen_au_chart_template,1650,Contra Account,account.data_account_type_current_assets,FALSE,account_grp_asset
ccleen_au_1700,l10n_ccleen_au.l10n_ccleen_au_chart_template,1700,Preliminary Company Set Up Costs,account.data_account_type_non_current_assets,FALSE,account_grp_asset
ccleen_au_1806,l10n_ccleen_au.l10n_ccleen_au_chart_template,1806,Loan from Gentec,account.data_account_type_non_current_assets,FALSE,account_grp_asset
ccleen_au_2000,l10n_ccleen_au.l10n_ccleen_au_chart_template,2000,Accounts Payable,account.data_account_type_payable,TRUE,account_grp_liability
ccleen_au_2202,l10n_ccleen_au.l10n_ccleen_au_chart_template,2202,Other Payables,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2300,l10n_ccleen_au.l10n_ccleen_au_chart_template,2300,Tax Liability,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2310,l10n_ccleen_au.l10n_ccleen_au_chart_template,2310,Company Income Tax,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2315,l10n_ccleen_au.l10n_ccleen_au_chart_template,2315,PAYG Tax Instalments,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2320,l10n_ccleen_au.l10n_ccleen_au_chart_template,2320,GST Collected (1A on BAS),account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2321,l10n_ccleen_au.l10n_ccleen_au_chart_template,2321,GST Collected (1A on BAS) Import,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2322,l10n_ccleen_au.l10n_ccleen_au_chart_template,2322,Tax Liability : GST  Clearing,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2330,l10n_ccleen_au.l10n_ccleen_au_chart_template,2330,Payroll Liabilities,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2331,l10n_ccleen_au.l10n_ccleen_au_chart_template,2331,Employee Net Pay Clearing,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2332,l10n_ccleen_au.l10n_ccleen_au_chart_template,2332,PAYG Payable,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2336,l10n_ccleen_au.l10n_ccleen_au_chart_template,2336,Superannuation Liability,account.data_account_type_current_liabilities,FALSE,account_grp_liability
